slide_no,slide_title,core_message,primary_sources
1,Title,Introduce the project as a PHM AI system built on NASA C-MAPSS,"doc/paper/main.tex; README.md"
2,Motivation and Problem,Point RUL prediction alone is not enough for usable maintenance decisions,"doc/paper/main.tex; doc/paper/04_discussion.md"
3,NASA C-MAPSS Context,C-MAPSS defines the degradation-prediction benchmark and operational context,"data/readme.txt; doc/paper/main.tex"
4,Project Objectives and Contributions,The project contributes prediction, deterministic decision support, scenarios, and auditability,"doc/paper/main.tex; doc/paper/03_results.md"
5,System Architecture,The app is a contract-based Predictive -> Agent -> Dashboard system,"doc/paper/main.tex; out/dashboard_layer/01_ui_backend_contract_v1.json"
6,Data and Preprocessing,Raw C-MAPSS rows are transformed into a selected and standardized predictive feature set,"out/eda/05_preprocessing_config.json; out/eda/04_target_definition.txt"
7,Predictive Layer and Champion Selection,RF was deployed because it balanced quality, stability, and integration readiness,"out/predictive_layer/champion_record.json; out/predictive_layer/04_metrics_global_by_model.csv; out/predictive_layer/04_latency_by_model.csv"
8,Agent Layer and Deterministic Decision Logic,Deterministic risk logic turns RUL into auditable recommendations with optional non-central LLM help,"src/agent_layer/risk_engine.py; src/agent_layer/orchestrator.py; out/agent_layer/06_scenario_assistant_policy.txt"
9,Dashboard Layer and User Workflow,The dashboard operationalizes Summary, Analysis, Scenarios, and Technical Audit views,"fig/dashboard/dashboard_v1_4.png; fig/dashboard/dashboard_v1_5.png; fig/dashboard/dashboard_v1_8.png; fig/dashboard/dashboard_v1_9.png"
10,Experiments and Results,The evidence combines predictive metrics, stability, latency, and champion-selection rationale,"out/predictive_layer/04_metrics_global_by_model.csv; out/predictive_layer/04_metrics_by_dataset_by_model.csv; out/predictive_layer/04_latency_by_model.csv"
11,Scenarios and Interpretability,Scenarios are deterministic, auditable, and useful for comparative sensitivity analysis,"out/agent_layer/05_scenario_examples.json; data/test_input_reference.md"
12,Engineering Constraints,Deployment choices were shaped by cost, latency, safety, reliability, and traceability,"out/agent_layer/08_failure_modes.txt; out/predictive_layer/08_deploy_checklist.txt; out/dashboard_layer/08_state_handling_guide.txt"
13,Limitations and Future Work,The current system is strong but constrained by tabular serving and limited local sensitivity,"doc/paper/04_discussion.md; out/predictive_layer/08_residual_risks.md"
14,Conclusion,The project demonstrates a deployable and traceable PHM system rather than just a benchmark model,"doc/paper/main.tex; doc/paper/04_conclusion.md"
15,Backup / Appendix,Keep reproducibility and audit details ready for reviewer questions,"environment.yml; USER_GUIDE.md; out/dashboard_layer/03_mapping_fields_table.csv"
